identifier,symbol
10010,TANK
10024,TROAP
10026,PIGK
100534599,ISY1-RAB43
10075,HUWE1
10078,TSSC4
10133,OPTN
10146,G3BP1
10168,ZNF197
10189,ALYREF
10200,MPHOSPH6
10204,NUTF2
10241,CALCOCO2
10253,SPRY2
1027,CDKN1B
102724652,LOC102724652
10273,STUB1
10287,RGS19
10293,TRAIP
10294,DNAJA2
10308,ZNF267
10309,CCNO
10313,RTN3
10385,BTN2A2
103910,MYL12B
10398,MYL9
10413,YAP1
10419,PRMT5
10423,CDIPT
10424,PGRMC2
1047,CLGN
10477,UBE2E3
10480,EIF3M
10482,NXF1
10488,CREB3
10498,CARM1
10513,APPBP2
10529,NEBL
10542,LAMTOR5
10551,AGR2
10573,MRPL28
10618,TGOLN2
10623,POLR3C
10627,MYL12A
10636,RGS14
10642,IGF2BP1
10657,KHDRBS1
10664,CTCF
10667,FARS2
10668,CGRRF1
10682,EBP
1070,CETN3
10713,USP39
10728,PTGES3
10746,MAP3K2
10747,MASP2
10758,TRAF3IP2
10783,NEK6
1080,CFTR
10811,NOXA1
10841,FTCD
10857,PGRMC1
10892,MALT1
10912,GADD45G
10927,SPIN1
10938,EHD1
10946,SF3A3
10951,CBX1
10971,YWHAQ
10980,COPS6
11035,RIPK3
11043,MID2
11059,WWP1
11063,SOX30
11069,RAPGEF4
1107,CHD3
11072,DUSP14
11074,TRIM31
11077,HSF2BP
11098,PRSS23
11100,HNRNPUL1
11112,HIBADH
11136,SLC7A9
1114,CHGB
11140,CDC37
11146,GLMN
11149,POPDC1
11170,FAM107A
11277,TREX1
11329,STK38
11340,EXOSC8
113802,HENMT1
114327,EFHC1
1147,CHUK
114883,OSBPL9
115,ADCY9
116349,EXOC3-AS1
116835,HSPA12B
116988,AGAP3
117144,CATSPER1
117166,WFIKKN1
117283,IP6K3
1173,AP2M1
1175,AP2S1
1182,CLCN3
118424,UBE2J2
118427,OLFM3
118738,ZNF488
119016,AGAP4
1196,CLK2
1198,CLK3
120,ADD3
120379,PIH1D2
120892,LRRK2
121355,GTSF1
122060,SLAIN1
122258,SPACA7
122786,FRMD6
124359,CDYL2
125115,KRT40
125488,TTC39C
126353,MISP
127544,RNF19B
127665,ZNF648
128178,EDARADD
128553,TSHZ2
129852,CIMIP6
131450,CD200R1
131616,TMEM42
131831,ERICH6
134218,DNAJC21
134391,GPR151
135892,TRIM50
137209,ZNF572
1398,CRK
140290,TCP10L
140461,ASB8
140606,SELENOM
140689,CBLN4
1407,CRY1
1408,CRY2
140807,KRT72
140831,ZSWIM3
1409,CRYAA
1410,CRYAB
1412,CRYBA2
1415,CRYBB2
1431,CS
143884,CWF19L2
144406,CFAP251
1447,CSN2
145483,FAM161B
1457,CSNK2A1
146542,ZNF688
1468,SLC25A10
146852,ODF4
147687,ZNF417
147719,LYPD4
147872,KASH5
148022,TICAM1
148398,SAMD11
148534,TLCD4
149018,LELP1
1499,CTNNB1
150248,C22orf15
150290,DUSP18
150771,ITPRIPL1
151254,C2CD6
152110,NEK10
152926,PPM1K
1534,CYB561
153527,ZMAT2
154,ADRB2
1540,CYLD
154865,IQUB
154881,KCTD7
157,GRK3
1576,CYP3A4
1600,DAB1
161142,GARIN2
1612,DAPK1
161582,DNAAF4
162427,RETREG3
163,AP2B1
1656,DDX6
166,TLE5
1660,DHX9
166793,ZBTB49
166979,CDC20B
1674,DES
1676,DFFA
170082,TCEANC
170482,CLEC4C
170954,PPP1R18
171482,FAM9A
1727,CYB5R3
1728,NQO1
1774,DNASE1L1
1826,DSCAM
1838,DTNB
1856,DVL2
1857,DVL3
1859,DYRK1A
1869,E2F1
1908,EDN3
1910,EDNRB
1946,EFNA5
1956,EGFR
196,AHR
1964,EIF1AX
1965,EIF2S1
1969,EPHA2
197131,UBR1
1974,EIF4A2
1981,EIF4G1
1982,EIF4G2
1983,EIF5
200232,FAM209A
200894,ARL13B
201798,TIGD4
203062,TSNARE1
2033,EP300
203547,VMA21
2036,EPB41L1
2037,EPB41L2
2039,DMTN
2040,STOM
2042,EPHA3
2045,EPHA7
2064,ERBB2
2065,ERBB3
207,AKT1
2073,ERCC5
2099,ESR1
2101,ESRRA
2120,ETV6
2124,EVI2B
213,ALB
2130,EWSR1
2192,FBLN1
2193,FARSA
219402,MTIF3
220004,SAXO4
2202,EFEMP1
220929,ZNF438
2212,FCGR2A
222696,ZSCAN23
2235,FECH
2243,FGA
2264,FGFR4
22800,RRAS2
2288,FKBP4
22893,BAHD1
22921,MSRB2
22938,SNW1
22983,MAST1
23015,GOLGA8A
23020,SNRNP200
23028,KDM1A
23043,TNIK
23062,GGA2
23099,ZBTB43
23132,RAD54L2
23136,EPB41L3
23163,GGA3
2317,FLNB
23199,GSE1
23216,TBC1D1
23219,FBXO28
23281,MTUS2
23363,OBSL1
23381,SMG5
23392,ECPAS
23405,DICER1
23429,RYBP
23495,TNFRSF13B
23527,ACAP2
2355,FOSL2
23582,CCNDBP1
23586,RIGI
23621,BACE1
23623,RUSC1
23624,CBLC
23630,KCNE5
23636,NUP62
23641,LDOC1
23673,STX12
23753,SDF2L1
24144,TFIP11
245937,DEFB124
248,ALPI
2495,FTH1
25,ABL1
250,ALPP
254187,TSGA10IP
254910,LCE5A
2553,GABPB1
255738,PCSK9
256302,NATD1
25793,FBXO7
25801,GCA
25814,ATXN10
25820,ARIH1
25828,TXN2
25831,HECTD1
25913,POT1
259197,NCR3
25957,PNISR
25959,KANK2
25978,CHMP2B
25988,HINFP
26003,GORASP2
26009,ZZZ3
26060,APPL1
26088,GGA1
26097,CHTOP
26119,LDLRAP1
26130,GAPVD1
26150,RIBC2
2617,GARS1
262,AMD1
2622,GAS8
2623,GATA1
26240,FAM50B
26353,HSPB8
26575,RGS17
2660,MSTN
2661,GDF9
2665,GDI2
2669,GEM
2670,GFAP
26985,AP3M1
2705,GJB1
27124,INPP5J
27125,AFF4
27131,SNX5
27141,CIDEB
27156,RSPH14
27230,SERP1
27238,GPKOW
27247,NFU1
27258,LSM3
27300,ZNF544
27301,APEX2
27316,RBMX
27338,UBE2S
27429,HTRA2
2782,GNB1
283,ANG
283385,MORN3
283461,REDIC1
284058,KANSL1
284257,BOD1L2
285613,RELL2
285753,CEP57L1
286,ANK1
286205,SCAI
2867,FFAR2
287015,TRIM42
2898,GRIK2
2908,NR3C1
29107,NXT1
29110,TBK1
29116,MYLIP
29123,ANKRD11
2923,PDIA3
2928,GSC2
2935,GSPT1
2950,GSTP1
2954,GSTZ1
2978,GUCA1A
29896,TRA2A
29948,OSGIN1
29950,SERTAD1
29978,UBQLN2
29979,UBQLN1
29994,BAZ2B
30000,TNPO2
301,ANXA1
302,ANXA2
3069,HDLBP
30811,HUNK
3091,HIF1A
3096,HIVEP1
3162,HMOX1
3181,HNRNPA2B1
3184,HNRNPD
3185,HNRNPF
3188,HNRNPH2
3192,HNRNPU
3198,HOXA1
3215,HOXB5
324,APC
329,BIRC2
3297,HSF1
330,BIRC3
3301,DNAJA1
3303,HSPA1A
3304,HSPA1B
3308,HSPA4
3309,HSPA5
3312,HSPA8
3313,HSPA9
3315,HSPB1
332,BIRC5
3320,HSP90AA1
3326,HSP90AB1
3337,DNAJB1
3347,HTN3
3362,HTR6
338,APOB
339,APOBEC1
339287,MSL1
339302,CPLX4
340527,NHSL2
340706,VWA2
342132,ZNF774
3423,IDS
342979,PALM3
344892,RTP2
345274,SLC10A6
345275,HSD17B13
3476,IGBP1
348,APOE
3480,IGF1R
348487,FAM131C
3489,IGFBP6
350,APOH
351,APP
3516,RBPJ
353134,LCE1D
353135,LCE1E
353137,LCE1F
353140,LCE2C
353142,LCE3A
353143,LCE3B
353144,LCE3C
353145,LCE3E
353332,KRTAP12-1
3551,IKBKB
3567,IL5
3568,IL5RA
358,AQP1
359,AQP2
3594,IL12RB1
3604,TNFRSF9
3615,IMPDH2
363,AQP6
3638,INSIG1
3643,INSR
3659,IRF1
3662,IRF4
367,AR
3705,ITPK1
3717,JAK2
3727,JUND
3728,JUP
374383,NCR3LG1
374618,TEX9
375484,SIMC1
375791,CYSRT1
3775,KCNK1
379,ARL4D
3801,KIFC3
3804,KIR2DL3
3817,KLK2
3831,KLC1
3837,KPNB1
3839,KPNA3
3842,TNPO1
3845,KRAS
3846,KRTAP5-9
386676,KRTAP10-9
386681,KRTAP10-8
386682,KRTAP10-3
3875,KRT18
3881,KRT31
388407,LINC02875
388677,NOTCH2NLA
388695,LYSMD1
389114,ZNF662
3895,KTN1
390212,GPR152
391257,SUMO1P1
3921,RPSA
3929,LBP
3934,LCN2
3949,LDLR
3958,LGALS3
3978,LIG1
3983,ABLIM1
4004,LMO1
4005,LMO2
403313,PLPP6
4043,LRPAP1
4055,LTBR
4064,CD180
406881,MIRLET7A1
4071,TM4SF1
4084,MXD1
4086,SMAD1
4088,SMAD3
4110,MAGEA11
4116,MAGOH
4118,MAL
4134,MAP4
4137,MAPT
414059,TBC1D3B
414301,DDI1
4175,MCM6
4184,SMCP
4188,MDFI
4212,MEIS2
4214,MAP3K1
4217,MAP3K5
4236,MFAP1
4259,MGST3
4286,MITF
4287,ATXN3
4301,AFDN
4313,MMP2
4342,MOS
4354,MPP1
4356,MPP3
439,GET3
440295,GOLGA6L9
441282,AKR1B15
444,ASPH
4528,MTIF2
4543,MTNR1A
4591,TRIM37
4609,MYC
4638,MYLK
4654,MYOD1
4665,NAB2
4673,NAP1L1
4739,NEDD9
4783,NFIL3
4792,NFKBIA
4793,NFKBIB
4804,NGFR
4828,NMB
4833,NME4
4838,NODAL
4842,NOS1
4899,NRF1
4924,NUCB1
4928,NUP98
4931,NVL
493856,CISD2
493869,GPX8
5013,OTX1
5036,PA2G4
5045,FURIN
50511,SYCP3
50628,GEMIN4
5071,PRKN
5076,PAX2
50943,FOXP3
51003,MED31
51008,ASCC1
51019,WASHC3
51027,BOLA1
51075,TMX2
51124,IER3IP1
51133,KCTD3
51142,CHCHD2
51149,MRNIP
51160,VPS28
51194,IPO11
51224,ELOA2
51255,RNF181
51274,KLF3
51280,GOLM1
5129,CDK18
51295,ECSIT
51324,SPG21
51330,TNFRSF12A
51340,CRNKL1
51421,AMOTL2
51434,ANAPC7
51465,UBE2J1
51497,NELFCD
51517,NCKIPSD
5154,PDGFA
51548,SIRT6
5155,PDGFB
5156,PDGFRA
51561,IL23A
51573,GDE1
5159,PDGFRB
51594,NBAS
51603,METTL13
51614,ERGIC3
51619,UBE2D4
51649,MRPS23
51661,FKBP7
5168,ENPP2
51692,CPSF3
51700,CYB5R2
51726,DNAJB11
51760,SYT17
51763,INPP5K
5178,PEG3
5216,PFN1
5269,SERPINB6
5290,PIK3CA
5300,PIN1
5308,PITX2
5315,PKM
5335,PLCG1
53358,SHC3
5354,PLP1
53820,RIPPLY3
53840,TRIM34
53842,CLDN22
53918,PELO
54346,UNC93A
54431,DNAJC10
54442,KCTD5
54469,ZFAND6
54507,ADAMTSL4
54532,USP53
54535,CCHCR1
54544,CRCT1
54557,SGTB
5458,POU4F2
5460,POU5F1
54623,PAF1
5464,PPA1
54676,GTPBP2
5468,PPARG
54757,FAM20A
54776,PPP1R12C
54780,NSMCE4A
5479,PPIB
54870,QRICH1
54925,ZSCAN32
5493,PPL
54936,ADPRS
5494,PPM1A
54971,BANP
55002,TMCO3
55012,PPP2R3C
55030,FBXO34
55072,RNF31
55083,KIF26B
55093,NTAQ1
55138,FAM90A1
55157,DARS2
55170,PRMT6
55195,CCDC198
55197,RPRD1A
55209,SETD5
55216,NKAPD1
55257,MRGBP
55276,PGM2
55284,UBE2W
55285,RBM41
55288,RHOT1
55294,FBXW7
5553,PRG2
5554,PRH1
5555,PRH2
55585,UBE2Q1
55611,OTUB1
5565,PRKAB2
5566,PRKACA
55660,PRPF40A
55699,IARS2
55707,NECAP2
5575,PRKAR1B
55758,RCOR3
55812,SPATA7
55815,TSNAXIP1
55840,EAF2
5585,PKN1
5587,PRKD1
55885,LMO3
55909,BIN3
55929,DMAP1
56006,SMG9
56034,PDGFC
5606,MAP2K3
5607,MAP2K5
56243,KIAA1217
5630,PRPH
56311,ANKRD7
56477,CCL28
5648,MASP1
56616,DIABLO
56829,ZC3HAV1
5684,PSMA3
56850,GRIPAP1
5687,PSMA6
56888,KCMF1
5689,PSMB1
56893,UBQLN4
5690,PSMB2
56904,SH3GLB2
56915,EXOSC5
56923,NMUR2
56947,MFF
56975,FAM20C
5700,PSMC1
5707,PSMD1
5708,PSMD2
5710,PSMD4
5715,PSMD9
57159,TRIM54
5727,PTCH1
5728,PTEN
573,BAG1
57332,CBX8
574031,MIR363
57506,MAVS
57533,TBC1D14
57595,PDZD4
57616,TSHZ3
57623,ZFAT
5764,PTN
5774,PTPN3
57786,RBAK
5781,PTPN11
57819,LSM2
5786,PTPRA
57862,ZNF410
57863,CADM3
5795,PTPRJ
58491,ZNF71
58500,ZNF250
58517,RBM25
5859,QARS1
5871,MAP4K2
5879,RAC1
5886,RAD23A
5888,RAD51
5894,RAF1
5898,RALA
5901,RAN
5903,RANBP2
5954,RCN1
5970,RELA
5985,RFC5
5991,RFX3
60314,MYG1
604,BCL6
60401,EDA2R
60468,BACH2
6047,RNF4
60491,NIF3L1
60496,AASDHPPT
6158,RPL28
6275,S100A4
6303,SAT1
6305,SBF1
6310,ATXN1
6319,SCD
6374,CXCL5
638,BIK
6386,SDCBP
63898,SH2D4A
6396,SEC13
640,BLK
64100,ELSPBP1
64105,CENPK
642,BLMH
6426,SRSF1
6428,SRSF3
6429,SRSF4
6432,SRSF7
643376,BTBD18
6434,TRA2B
64398,PALS1
64419,MTMR14
6449,SGTA
64518,TEKT3
6453,ITSN1
645432,ARRDC5
64641,EBF2
6469,SHH
64763,ZNF574
64778,FNDC3B
64783,RBM15
649,BMP1
64927,TTC23
64976,MRPL40
65056,GPBP1
65057,ACD
6541,SLC7A1
6595,SMARCA2
6597,SMARCA4
6598,SMARCB1
660,BMX
6602,SMARCD1
6613,SUMO2
6615,SNAI1
6622,SNCA
6634,SNRPD3
6636,SNRPF
6650,CAPN15
6660,SOX5
6696,SPP1
6711,SPTBN1
672,BRCA1
6731,SRP72
6732,SRPK1
6733,SRPK2
6794,STK11
6815,STYX
6829,SUPT5H
6843,VAMP1
688,KLF5
6886,TAL1
6895,TARBP2
6897,TARS1
6901,TAFAZZIN
6919,TCEA2
6941,TCF19
6993,DYNLT1
6997,CRIPTO
7003,TEAD1
7013,TERF1
7041,TGFB1I1
7048,TGFBR2
705,BYSL
7051,TGM1
7064,THOP1
708,C1QBP
7113,TMPRSS2
712,C1QA
7124,TNF
7126,TNFAIP1
7128,TNFAIP3
713,C1QB
7133,TNFRSF1B
7157,TP53
7159,TP53BP2
717,C2
7178,TPT1
7184,HSP90B1
7185,TRAF1
7186,TRAF2
7187,TRAF3
7188,TRAF5
7189,TRAF6
7267,TTC3
729092,AGAP5
7293,TNFRSF4
7295,TXN
7307,U2AF1
7311,UBA52
7316,UBC
7321,UBE2D1
7322,UBE2D2
7323,UBE2D3
7324,UBE2E1
7325,UBE2E2
7328,UBE2H
7329,UBE2I
7332,UBE2L3
7334,UBE2N
7335,UBE2V1
7336,UBE2V2
7341,SUMO1
7353,UFD1
7381,UQCRB
7391,USF1
7415,VCP
7428,VHL
7431,VIM
7504,XK
7514,XPO1
7517,XRCC3
7520,XRCC5
7525,YES1
7529,YWHAB
7531,YWHAE
7533,YWHAH
7534,YWHAZ
7572,ZNF24
7584,ZNF35
7597,ZBTB25
765,CA6
7681,MKRN3
7690,ZNF131
7703,PCGF2
7704,ZBTB16
7706,TRIM25
7709,ZBTB17
7716,VEZF1
775,CACNA1C
7755,ZNF205
7798,LUZP1
7809,BSND
7867,MAPKAPK3
7874,USP7
78986,DUSP26
79000,AUNIP
79005,SCNM1
79027,ZNF655
79050,NOC4L
79068,FTO
79161,TMEM243
79165,LENG1
7917,BAG6
79175,ZNF343
7918,GPANK1
79413,ZBED2
79444,BIRC7
79571,GCC1
79616,CCNJL
79622,SNRNP25
79624,ARMT1
79642,ARSJ
79657,RPAP3
79696,ZC2HC1C
79705,LRRK1
79706,PRKRIP1
79733,E2F8
79741,CCDC7
79768,KATNBL1
79822,ARHGAP28
79843,FAM124B
79869,CPSF7
79873,NUDT18
79879,CCDC134
80011,PSME3IP1
80022,MYO15B
80125,CCDC33
8013,NR4A3
80195,TMEM254
8021,NUP214
80256,ATOSB
80279,CDK5RAP3
80317,ZKSCAN3
80328,ULBP2
80344,DCAF11
80705,TSGA10
80742,PRR3
80764,THAP7
8087,FXR1
81,ACTN4
811,CALR
8115,TCL1A
813,CALU
81576,YJU2B
81603,TRIM8
8161,COIL
818,CAMK2G
81847,RNF146
81850,KRTAP1-3
81851,KRTAP1-1
81875,ISG20L2
819,CAMLG
8204,NRIP1
8220,ESS2
8312,AXIN1
83444,INO80B
83445,GSG1
83446,CCDC70
83461,CDCA3
835,CASP2
83541,FAM110A
83550,GPR101
83593,RASSF5
836,CASP3
83707,TRPT1
83755,KRTAP4-12
83861,RSPH3
840,CASP7
84060,RBM48
84080,ENKD1
84131,CEP78
84133,ZNRF3
84140,FAM161A
842,CASP9
84221,SPATC1L
84256,FLYWCH1
84292,WDR83
84294,UTP23
84300,UQCC2
84309,NUDT16L1
84320,ACBD6
84333,PCGF5
8443,GNPAT
84445,LZTS2
84457,PHYHIPL
84458,LCOR
84498,FAM120B
84522,JAGN1
84547,PGBD1
84557,MAP1LC3A
8456,FOXN1
84614,ZBTB37
84617,TUBB6
84648,LCE3D
84689,MS4A14
84707,BEX2
84708,LNX1
8480,RAE1
84807,NFKBID
84832,ANKRD36BP1
84966,IGSF21
85013,TMEM128
8517,IKBKG
85291,KRTAP4-2
85300,ATCAY
8536,CAMK1
85403,EAF1
8543,LMO4
8547,FCN3
8550,MAPKAPK5
85509,MBD3L1
8559,PRPF18
8563,THOC5
8576,STK16
8601,RGS20
8604,SLC25A12
861,RUNX1
862,RUNX1T1
867,CBL
8672,EIF4G3
8674,VAMP4
8678,BECN1
87,ACTN1
8717,TRADD
87178,PNPT1
8737,RIPK1
8764,TNFRSF14
8767,RIPK2
8775,NAPA
8784,TNFRSF18
8792,TNFRSF11A
88,ACTN2
8805,TRIM24
8836,GGH
8872,CDC123
8874,ARHGEF7
8877,SPHK1
8878,SQSTM1
8881,CDC16
89,ACTN3
8907,AP1M1
891,CCNB1
8915,BCL10
892,CCNC
8936,WASF1
8945,BTRC
89858,SIGLEC12
89885,FATE1
8992,ATP6V0E1
90060,CCDC120
9020,MAP3K14
90416,CCDC32
90417,KNSTRN
9063,PIAS2
90701,SEC11C
9093,DNAJA3
9094,UNC119
9099,USP2
90993,CREB3L1
91,ACVR1B
9112,MTA1
9113,LATS1
91544,UBXN11
91624,NEXN
91647,ATPAF2
91694,LONRF1
91746,YTHDC1
9182,RASSF9
91893,FDXACB1
9194,SLC16A7
92,ACVR2A
9205,ZMYM5
92129,RIPPLY1
9218,VAPA
9232,PTTG1
92558,BICDL1
9258,MFHAS1
9261,MAPKAPK2
92610,TIFA
9278,ZBTB22
93,ACVR2B
93323,HAUS8
93426,SYCE1
9343,EFTUD2
9352,TXNL1
939,CD27
9391,CIAO1
9414,TJP2
943,TNFRSF8
9446,GSTO1
9450,LY86
9459,ARHGEF6
9507,ADAMTS4
9513,FXR2
9529,BAG5
9531,BAG3
9532,BAG2
9555,MACROH2A1
958,CD40
9580,SOX13
9584,RBM39
9586,CREB5
9601,PDIA4
9610,RIN1
9641,IKBKE
965,CD58
9666,DZIP3
972,CD74
9724,UTP14C
9726,ZNF646
9729,KIAA0408
973,CD79A
9747,TCAF1
9787,DLGAP5
9825,SPATA2
9830,TRIM14
9841,ZBTB24
9868,TOMM70
9878,TOX4
9883,POM121
9908,G3BP2
9915,ARNT2
9939,RBM8A
9972,NUP153
9978,RBX1
998,CDC42
